Day,Time (PST),Temp,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Conditions
2/11/2017,9:53 PM,   53.1 °F ,   46.9 °F ,80%,   30.08 in ,   10.0 mi ,SE,   3.5 mph ,Scattered Clouds
2/11/2017,10:01 PM,   53.1 °F ,   46.9 °F ,80%,   30.09 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
2/11/2017,10:53 PM,   55.0 °F ,   48.0 °F ,77%,   30.09 in ,   10.0 mi ,WNW,   3.5 mph ,Overcast
2/11/2017,11:53 PM,   54.0 °F ,   48.0 °F ,80%,   30.09 in ,   10.0 mi ,NW,   3.5 mph ,Mostly Cloudy
2/12/2017,12:53 AM,   54.0 °F ,   48.0 °F ,80%,   30.08 in ,   10.0 mi ,Calm,Calm,Overcast
2/12/2017,1:53 AM,   54.0 °F ,   48.0 °F ,80%,   30.06 in ,   10.0 mi ,NW,   4.6 mph ,Overcast
2/12/2017,2:53 AM,   51.1 °F ,   46.9 °F ,86%,   30.06 in ,   10.0 mi ,Calm,Calm,Partly Cloudy
2/12/2017,3:05 AM,   52.0 °F ,   48.0 °F ,86%,   30.06 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
2/12/2017,3:43 AM,   52.0 °F ,   48.0 °F ,86%,   30.06 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
2/12/2017,3:53 AM,   51.1 °F ,   48.0 °F ,89%,   30.05 in ,   10.0 mi ,ENE,   4.6 mph ,Partly Cloudy
2/12/2017,4:53 AM,   50.0 °F ,   45.0 °F ,83%,   30.06 in ,   10.0 mi ,Calm,Calm,Clear
2/12/2017,5:53 AM,   48.0 °F ,   44.1 °F ,86%,   30.07 in ,   10.0 mi ,Calm,Calm,Scattered Clouds
2/12/2017,6:53 AM,   50.0 °F ,   45.0 °F ,83%,   30.08 in ,   10.0 mi ,North,   3.5 mph ,Scattered Clouds
2/12/2017,7:53 AM,   53.1 °F ,   45.0 °F ,74%,   30.08 in ,   10.0 mi ,Calm,Calm,Scattered Clouds
2/12/2017,8:53 AM,   55.9 °F ,   46.0 °F ,69%,   30.08 in ,   10.0 mi ,NNW,   9.2 mph ,Clear
2/12/2017,9:53 AM,   57.9 °F ,   46.0 °F ,65%,   30.07 in ,   10.0 mi ,North,   6.9 mph ,Clear
2/12/2017,10:53 AM,   62.1 °F ,   46.9 °F ,58%,   30.06 in ,   10.0 mi ,NW,   10.4 mph ,Clear
2/12/2017,11:53 AM,   64.0 °F ,   48.0 °F ,56%,   30.04 in ,   10.0 mi ,WNW,   6.9 mph ,Clear
2/12/2017,12:53 PM,   64.0 °F ,   50.0 °F ,60%,   30.01 in ,   10.0 mi ,WNW,   8.1 mph ,Clear
2/12/2017,1:53 PM,   64.0 °F ,   52.0 °F ,65%,   29.99 in ,   10.0 mi ,West,   10.4 mph ,Clear
2/12/2017,2:53 PM,   63.0 °F ,   52.0 °F ,67%,   29.99 in ,   10.0 mi ,West,   10.4 mph ,Clear
2/12/2017,3:53 PM,   64.9 °F ,   46.0 °F ,50%,   29.98 in ,   10.0 mi ,NNW,   12.7 mph ,Clear
2/12/2017,4:53 PM,   63.0 °F ,   45.0 °F ,52%,   29.98 in ,   10.0 mi ,NW,   13.8 mph ,Clear
2/12/2017,5:53 PM,   61.0 °F ,   46.9 °F ,60%,   30.00 in ,   10.0 mi ,North,   4.6 mph ,Clear
2/12/2017,6:53 PM,   61.0 °F ,   46.9 °F ,60%,   30.02 in ,   10.0 mi ,NW,   4.6 mph ,Clear
2/12/2017,7:53 PM,   57.0 °F ,   48.0 °F ,72%,   30.03 in ,   10.0 mi ,Calm,Calm,Clear
2/12/2017,8:53 PM,   55.9 °F ,   48.0 °F ,75%,   30.03 in ,   10.0 mi ,Calm,Calm,Clear
2/12/2017,9:53 PM,   57.0 °F ,   48.9 °F ,74%,   30.01 in ,   10.0 mi ,NW,   3.5 mph ,Clear
2/12/2017,10:53 PM,   54.0 °F ,   48.0 °F ,80%,   30.01 in ,   10.0 mi ,Calm,Calm,Clear
2/12/2017,11:53 PM,   53.1 °F ,   48.0 °F ,83%,   30.01 in ,   10.0 mi ,ESE,   3.5 mph ,Clear
2/13/2017,12:53 AM,   50.0 °F ,   46.0 °F ,86%,   30.01 in ,   10.0 mi ,East,   3.5 mph ,Clear
2/13/2017,1:53 AM,   48.9 °F ,   45.0 °F ,86%,   30.00 in ,   10.0 mi ,ESE,   4.6 mph ,Clear
2/13/2017,2:53 AM,   50.0 °F ,   46.0 °F ,86%,   30.00 in ,   10.0 mi ,ENE,   3.5 mph ,Clear
2/13/2017,3:53 AM,   51.1 °F ,   46.0 °F ,83%,   29.99 in ,   10.0 mi ,Calm,Calm,Clear
2/13/2017,4:53 AM,   50.0 °F ,   46.0 °F ,86%,   30.00 in ,   10.0 mi ,Calm,Calm,Clear
2/13/2017,5:53 AM,   48.0 °F ,   45.0 °F ,89%,   30.01 in ,   10.0 mi ,East,   3.5 mph ,Clear
2/13/2017,6:53 AM,   48.9 °F ,   44.1 °F ,83%,   30.03 in ,   10.0 mi ,SE,   3.5 mph ,Clear
2/13/2017,7:53 AM,   54.0 °F ,   45.0 °F ,72%,   30.05 in ,   10.0 mi ,ESE,   3.5 mph ,Clear
2/13/2017,8:53 AM,   60.1 °F ,   43.0 °F ,53%,   30.06 in ,   10.0 mi ,Calm,Calm,Clear
2/13/2017,9:53 AM,   64.9 °F ,   43.0 °F ,45%,   30.07 in ,   10.0 mi ,Calm,Calm,Clear
2/13/2017,10:53 AM,   69.1 °F ,   43.0 °F ,39%,   30.06 in ,   10.0 mi ,West,   4.6 mph ,Clear
2/13/2017,11:53 AM,   69.1 °F ,   45.0 °F ,42%,   30.04 in ,   10.0 mi ,SW,   4.6 mph ,Clear
2/13/2017,12:53 PM,   69.1 °F ,   45.0 °F ,42%,   30.03 in ,   10.0 mi ,WSW,   9.2 mph ,Clear
2/13/2017,1:53 PM,   68.0 °F ,   46.0 °F ,45%,   30.02 in ,   10.0 mi ,WSW,   10.4 mph ,Clear
2/13/2017,2:53 PM,   68.0 °F ,   43.0 °F ,40%,   30.01 in ,   10.0 mi ,WSW,   5.8 mph ,Clear
2/13/2017,3:53 PM,   66.9 °F ,   41.0 °F ,39%,   30.01 in ,   10.0 mi ,SW,   8.1 mph ,Clear
2/13/2017,4:53 PM,   64.0 °F ,   46.9 °F ,54%,   30.02 in ,   10.0 mi ,WSW,   4.6 mph ,Clear
2/13/2017,5:53 PM,   61.0 °F ,   50.0 °F ,67%,   30.03 in ,   10.0 mi ,Calm,Calm,Clear
2/13/2017,6:53 PM,   57.9 °F ,   50.0 °F ,75%,   30.04 in ,   10.0 mi ,ESE,   3.5 mph ,Clear
2/13/2017,7:53 PM,   59.0 °F ,   52.0 °F ,78%,   30.05 in ,   10.0 mi ,South,   3.5 mph ,Clear
2/13/2017,8:53 PM,   57.9 °F ,   54.0 °F ,87%,   30.05 in ,   9.0 mi ,SSW,   3.5 mph ,Clear
2/13/2017,9:50 PM,   57.2 °F ,   53.6 °F ,88%,   30.07 in ,   7.0 mi ,SSW,   4.6 mph ,Scattered Clouds
2/13/2017,9:53 PM,   57.0 °F ,   54.0 °F ,89%,   30.06 in ,   7.0 mi ,SSW,   3.5 mph ,Scattered Clouds
2/13/2017,10:02 PM,   57.0 °F ,   55.0 °F ,93%,   30.07 in ,   5.0 mi ,South,   4.6 mph ,Mostly Cloudy
2/13/2017,10:53 PM,   55.9 °F ,   54.0 °F ,93%,   30.06 in ,   7.0 mi ,ESE,   4.6 mph ,Overcast
2/13/2017,11:53 PM,   55.0 °F ,   53.1 °F ,93%,   30.06 in ,   4.0 mi ,ESE,   3.5 mph ,Overcast
2/14/2017,12:19 AM,   55.0 °F ,   53.1 °F ,93%,   30.05 in ,   2.5 mi ,SE,   5.8 mph ,Overcast
2/14/2017,12:29 AM,   55.0 °F ,   53.1 °F ,93%,   30.05 in ,   1.2 mi ,SE,   5.8 mph ,Overcast
2/14/2017,12:45 AM,   54.0 °F ,   53.1 °F ,97%,   30.06 in ,   0.8 mi ,South,   5.8 mph ,Overcast
2/14/2017,12:53 AM,   54.0 °F ,   53.1 °F ,97%,   30.05 in ,   1.2 mi ,South,   4.6 mph ,Overcast
2/14/2017,1:05 AM,   55.0 °F ,   53.1 °F ,93%,   30.06 in ,   2.5 mi ,SSW,   5.8 mph ,Overcast
2/14/2017,1:12 AM,   55.0 °F ,   53.1 °F ,93%,   30.06 in ,   4.0 mi ,SSW,   5.8 mph ,Overcast
2/14/2017,1:53 AM,   55.0 °F ,   53.1 °F ,93%,   30.05 in ,   5.0 mi ,SE,   3.5 mph ,Overcast
2/14/2017,2:53 AM,   55.9 °F ,   53.1 °F ,90%,   30.05 in ,   5.0 mi ,South,   5.8 mph ,Overcast
2/14/2017,3:53 AM,   55.0 °F ,   52.0 °F ,89%,   30.05 in ,   4.0 mi ,SSW,   4.6 mph ,Overcast
2/14/2017,4:53 AM,   55.0 °F ,   51.1 °F ,86%,   30.05 in ,   5.0 mi ,ESE,   4.6 mph ,Overcast
2/14/2017,5:53 AM,   55.0 °F ,   51.1 °F ,86%,   30.05 in ,   5.0 mi ,SE,   4.6 mph ,Overcast
2/14/2017,6:53 AM,   54.0 °F ,   51.1 °F ,90%,   30.07 in ,   4.0 mi ,SSE,   4.6 mph ,Overcast
2/14/2017,7:53 AM,   55.0 °F ,   52.0 °F ,89%,   30.08 in ,   4.0 mi ,Calm,Calm,Mostly Cloudy
2/14/2017,8:53 AM,   57.9 °F ,   52.0 °F ,81%,   30.08 in ,   7.0 mi ,Calm,Calm,Mostly Cloudy
2/14/2017,9:31 AM,   59.0 °F ,   51.1 °F ,75%,   30.10 in ,   9.0 mi ,SE,   3.5 mph ,Partly Cloudy
2/14/2017,9:53 AM,   60.1 °F ,   51.1 °F ,72%,   30.09 in ,   9.0 mi ,SSE,   3.5 mph ,Clear
2/14/2017,10:53 AM,   63.0 °F ,   51.1 °F ,65%,   30.09 in ,   10.0 mi ,Calm,Calm,Clear
2/14/2017,11:53 AM,   64.0 °F ,   52.0 °F ,65%,   30.07 in ,   10.0 mi ,West,   5.8 mph ,Clear
2/14/2017,12:53 PM,   64.9 °F ,   52.0 °F ,63%,   30.04 in ,   10.0 mi ,Variable,   3.5 mph ,Clear
2/14/2017,1:53 PM,   66.0 °F ,   53.1 °F ,63%,   30.02 in ,   10.0 mi ,WSW,   6.9 mph ,Clear
2/14/2017,2:53 PM,   64.0 °F ,   52.0 °F ,65%,   30.01 in ,   10.0 mi ,WSW,   8.1 mph ,Clear
2/14/2017,3:53 PM,   62.1 °F ,   52.0 °F ,70%,   30.01 in ,   10.0 mi ,SW,   5.8 mph ,Clear
2/14/2017,4:53 PM,   61.0 °F ,   52.0 °F ,72%,   30.03 in ,   10.0 mi ,WSW,   5.8 mph ,Clear
2/14/2017,5:53 PM,   59.0 °F ,   52.0 °F ,78%,   30.05 in ,   10.0 mi ,WNW,   4.6 mph ,Clear
2/14/2017,6:53 PM,   57.0 °F ,   52.0 °F ,83%,   30.06 in ,   10.0 mi ,WNW,   4.6 mph ,Clear
2/14/2017,7:53 PM,   55.9 °F ,   52.0 °F ,87%,   30.06 in ,   7.0 mi ,North,   4.6 mph ,Clear
2/14/2017,8:53 PM,   55.9 °F ,   52.0 °F ,87%,   30.07 in ,   7.0 mi ,North,   3.5 mph ,Clear
2/14/2017,9:53 PM,   55.0 °F ,   52.0 °F ,89%,   30.07 in ,   7.0 mi ,NW,   3.5 mph ,Clear
2/14/2017,10:53 PM,   55.0 °F ,   51.1 °F ,86%,   30.08 in ,   7.0 mi ,North,   5.8 mph ,Clear
2/14/2017,11:20 PM,   55.0 °F ,   52.0 °F ,89%,   30.09 in ,   7.0 mi ,NW,   5.8 mph ,Scattered Clouds
2/14/2017,11:29 PM,   55.0 °F ,   52.0 °F ,89%,   30.09 in ,   6.0 mi ,NW,   5.8 mph ,Mostly Cloudy
2/14/2017,11:47 PM,   55.4 °F ,   51.8 °F ,88%,   30.10 in ,   1.8 mi ,NNW,   6.9 mph ,Overcast
2/14/2017,11:53 PM,   54.0 °F ,   52.0 °F ,93%,   30.09 in ,   1.5 mi ,North,   6.9 mph ,Overcast
2/15/2017,12:04 AM,   54.0 °F ,   53.1 °F ,97%,   30.09 in ,   0.8 mi ,NNE,   5.8 mph ,Overcast
2/15/2017,12:53 AM,   54.0 °F ,   52.0 °F ,93%,   30.07 in ,   0.5 mi ,North,   5.8 mph ,Fog
2/15/2017,1:07 AM,   54.0 °F ,   53.1 °F ,97%,   30.08 in ,   0.2 mi ,NE,   3.5 mph ,Fog
2/15/2017,1:53 AM,   53.1 °F ,   51.1 °F ,93%,   30.06 in ,   0.2 mi ,ESE,   5.8 mph ,Fog
2/15/2017,2:28 AM,   52.0 °F ,   51.1 °F ,97%,   30.06 in ,   0.2 mi ,Calm,Calm,Fog
2/15/2017,2:53 AM,   52.0 °F ,   50.0 °F ,93%,   30.05 in ,   0.2 mi ,NW,   3.5 mph ,Fog
2/15/2017,3:19 AM,   51.1 °F ,   50.0 °F ,96%,   30.06 in ,   0.2 mi ,WNW,   5.8 mph ,Fog
2/15/2017,3:53 AM,   51.1 °F ,   51.1 °F ,100%,   30.06 in ,   0.2 mi ,Calm,Calm,Fog
2/15/2017,4:53 AM,   50.0 °F ,   48.9 °F ,96%,   30.05 in ,   0.2 mi ,NNE,   4.6 mph ,Fog
2/15/2017,5:53 AM,   51.1 °F ,   50.0 °F ,96%,   30.06 in ,   0.2 mi ,WNW,   4.6 mph ,Fog
2/15/2017,6:53 AM,   52.0 °F ,   51.1 °F ,97%,   30.07 in ,   0.2 mi ,North,   5.8 mph ,Fog
2/15/2017,7:53 AM,   50.0 °F ,   48.9 °F ,96%,   30.09 in ,   0.2 mi ,North,   5.8 mph ,Fog
2/15/2017,8:19 AM,   50.0 °F ,   48.9 °F ,96%,   30.10 in ,   0.8 mi ,NNW,   3.5 mph ,Overcast
2/15/2017,8:25 AM,   50.0 °F ,   50.0 °F ,100%,   30.11 in ,   0.8 mi ,NNW,   3.5 mph ,Fog
2/15/2017,8:32 AM,   51.1 °F ,   51.1 °F ,100%,   30.11 in ,   0.8 mi ,North,   3.5 mph ,Mist
2/15/2017,8:36 AM,   51.1 °F ,   51.1 °F ,100%,   30.11 in ,   7.0 mi ,NNE,   3.5 mph ,Scattered Clouds
2/15/2017,8:53 AM,   54.0 °F ,   53.1 °F ,97%,   30.10 in ,   8.0 mi ,ESE,   4.6 mph ,Partly Cloudy
2/15/2017,9:53 AM,   62.1 °F ,   48.9 °F ,62%,   30.10 in ,   10.0 mi ,ESE,   3.5 mph ,Clear
2/15/2017,10:53 AM,   69.1 °F ,   46.9 °F ,45%,   30.10 in ,   10.0 mi ,Variable,   3.5 mph ,Clear
2/15/2017,11:53 AM,   75.0 °F ,   41.0 °F ,29%,   30.07 in ,   10.0 mi ,Calm,Calm,Clear
2/15/2017,12:53 PM,   70.0 °F ,   52.0 °F ,53%,   30.04 in ,   10.0 mi ,West,   8.1 mph ,Clear
2/15/2017,1:53 PM,   71.1 °F ,   51.1 °F ,49%,   30.02 in ,   10.0 mi ,WNW,   10.4 mph ,Clear
2/15/2017,2:53 PM,   68.0 °F ,   52.0 °F ,56%,   30.02 in ,   10.0 mi ,NW,   6.9 mph ,Clear
2/15/2017,3:53 PM,   72.0 °F ,   46.0 °F ,40%,   30.01 in ,   10.0 mi ,NNW,   6.9 mph ,Clear
2/15/2017,4:53 PM,   68.0 °F ,   37.9 °F ,33%,   30.02 in ,   10.0 mi ,NW,   9.2 mph ,Clear
2/15/2017,5:53 PM,   61.0 °F ,   48.9 °F ,64%,   30.04 in ,   9.0 mi ,NNW,   8.1 mph ,Clear
2/15/2017,6:53 PM,   59.0 °F ,   51.1 °F ,75%,   30.06 in ,   6.0 mi ,NNW,   6.9 mph ,Haze
2/15/2017,7:53 PM,   59.0 °F ,   52.0 °F ,78%,   30.08 in ,   5.0 mi ,NW,   6.9 mph ,Haze
2/15/2017,8:53 PM,   55.9 °F ,   51.1 °F ,84%,   30.07 in ,   5.0 mi ,ENE,   3.5 mph ,Haze
2/15/2017,9:53 PM,   59.0 °F ,   48.9 °F ,69%,   30.06 in ,   9.0 mi ,Calm,Calm,Clear
2/15/2017,10:53 PM,   59.0 °F ,   46.9 °F ,64%,   30.06 in ,   10.0 mi ,WSW,   3.5 mph ,Clear
2/15/2017,11:53 PM,   55.0 °F ,   46.0 °F ,72%,   30.05 in ,   10.0 mi ,Calm,Calm,Clear
2/16/2017,12:53 AM,   55.0 °F ,   46.0 °F ,72%,   30.05 in ,   10.0 mi ,WSW,   4.6 mph ,Clear
2/16/2017,1:53 AM,   55.0 °F ,   46.0 °F ,72%,   30.04 in ,   10.0 mi ,North,   4.6 mph ,Clear
2/16/2017,2:53 AM,   53.1 °F ,   42.1 °F ,66%,   30.02 in ,   10.0 mi ,ESE,   3.5 mph ,Clear
2/16/2017,3:53 AM,   52.0 °F ,   43.0 °F ,71%,   30.01 in ,   10.0 mi ,Calm,Calm,Clear
2/16/2017,4:53 AM,   52.0 °F ,   42.1 °F ,69%,   30.01 in ,   10.0 mi ,Calm,Calm,Unknown
2/16/2017,5:53 AM,   51.1 °F ,   42.1 °F ,71%,   30.01 in ,   10.0 mi ,WNW,   3.5 mph ,Clear
2/16/2017,6:53 AM,   50.0 °F ,   41.0 °F ,71%,   30.02 in ,   10.0 mi ,Calm,Calm,Clear
2/16/2017,7:53 AM,   55.9 °F ,   44.1 °F ,64%,   30.03 in ,   10.0 mi ,Calm,Calm,Clear
2/16/2017,8:53 AM,   63.0 °F ,   39.9 °F ,43%,   30.03 in ,   10.0 mi ,Calm,Calm,Clear
2/16/2017,9:53 AM,   66.0 °F ,   43.0 °F ,43%,   30.02 in ,   10.0 mi ,WNW,   3.5 mph ,Clear
2/16/2017,10:53 AM,   68.0 °F ,   48.0 °F ,49%,   30.01 in ,   10.0 mi ,West,   4.6 mph ,Clear
2/16/2017,11:53 AM,   69.1 °F ,   48.9 °F ,49%,   30.01 in ,   10.0 mi ,Variable,   6.9 mph ,Clear
2/16/2017,12:53 PM,   71.1 °F ,   45.0 °F ,39%,   29.99 in ,   10.0 mi ,WSW,   5.8 mph ,Clear
2/16/2017,1:35 PM,   63.0 °F ,   50.0 °F ,63%,   29.99 in ,   10.0 mi ,WNW,   11.5 mph ,Clear
2/16/2017,1:53 PM,   63.0 °F ,   50.0 °F ,63%,   29.97 in ,   10.0 mi ,WNW,   6.9 mph ,Clear
2/16/2017,2:53 PM,   64.0 °F ,   46.0 °F ,52%,   29.97 in ,   10.0 mi ,West,   6.9 mph ,Clear
2/16/2017,3:53 PM,   64.9 °F ,   46.0 °F ,50%,   29.95 in ,   10.0 mi ,Calm,Calm,Clear
2/16/2017,4:53 PM,   64.9 °F ,   48.9 °F ,56%,   29.93 in ,   10.0 mi ,SSW,   4.6 mph ,Clear
2/16/2017,5:53 PM,   59.0 °F ,   51.1 °F ,75%,   29.94 in ,   10.0 mi ,SSW,   3.5 mph ,Clear
2/16/2017,6:53 PM,   57.0 °F ,   52.0 °F ,83%,   29.96 in ,   8.0 mi ,WSW,   4.6 mph ,Clear
2/16/2017,7:53 PM,   55.9 °F ,   52.0 °F ,87%,   29.95 in ,   7.0 mi ,Calm,Calm,Clear
2/16/2017,8:48 PM,   55.4 °F ,   51.8 °F ,88%,   29.95 in ,   6.0 mi ,WSW,   3.5 mph ,Scattered Clouds
2/16/2017,8:53 PM,   55.9 °F ,   52.0 °F ,87%,   29.94 in ,   6.0 mi ,Calm,Calm,Scattered Clouds
2/16/2017,9:49 PM,   55.4 °F ,   51.8 °F ,88%,   29.95 in ,   6.0 mi ,SSE,   3.5 mph ,Partly Cloudy
2/16/2017,9:53 PM,   55.9 °F ,   52.0 °F ,87%,   29.94 in ,   6.0 mi ,SE,   3.5 mph ,Partly Cloudy
2/16/2017,10:29 PM,   55.9 °F ,   52.0 °F ,87%,   29.93 in ,   6.0 mi ,SSE,   4.6 mph ,Mostly Cloudy
2/16/2017,10:53 PM,   55.9 °F ,   52.0 °F ,87%,   29.93 in ,   6.0 mi ,SSE,   6.9 mph ,Mostly Cloudy
2/16/2017,11:02 PM,   55.9 °F ,   52.0 °F ,87%,   29.91 in ,   7.0 mi ,SE,   4.6 mph ,Partly Cloudy
2/16/2017,11:39 PM,   55.9 °F ,   52.0 °F ,87%,   29.92 in ,   9.0 mi ,Calm,Calm,Mostly Cloudy
2/16/2017,11:53 PM,   55.9 °F ,   52.0 °F ,87%,   29.91 in ,   10.0 mi ,SE,   3.5 mph ,Overcast
2/17/2017,12:42 AM,   55.9 °F ,   52.0 °F ,87%,   29.90 in ,   10.0 mi ,SSE,   4.6 mph ,Mostly Cloudy
2/17/2017,12:53 AM,   55.9 °F ,   52.0 °F ,87%,   29.90 in ,   9.0 mi ,South,   5.8 mph ,Overcast
2/17/2017,1:42 AM,   55.9 °F ,   52.0 °F ,87%,   29.89 in ,   7.0 mi ,South,   6.9 mph ,Overcast
2/17/2017,1:53 AM,   55.9 °F ,   52.0 °F ,87%,   29.88 in ,   7.0 mi ,South,   9.2 mph ,Overcast
2/17/2017,2:34 AM,   55.9 °F ,   51.1 °F ,84%,   29.89 in ,   8.0 mi ,South,   5.8 mph ,Overcast
2/17/2017,2:53 AM,   55.9 °F ,   51.1 °F ,84%,   29.88 in ,   7.0 mi ,South,   10.4 mph ,Overcast
2/17/2017,3:53 AM,   55.0 °F ,   48.9 °F ,80%,   29.84 in ,   10.0 mi ,SSE,   9.2 mph ,Mostly Cloudy
2/17/2017,4:53 AM,   55.0 °F ,   50.0 °F ,83%,   29.84 in ,   6.0 mi ,SE,   8.1 mph ,Haze
2/17/2017,5:46 AM,   55.0 °F ,   50.0 °F ,83%,   29.85 in ,   6.0 mi ,SSE,   5.8 mph ,Haze
2/17/2017,5:53 AM,   55.0 °F ,   50.0 °F ,83%,   29.83 in ,   6.0 mi ,SE,   5.8 mph ,Haze
2/17/2017,6:53 AM,   55.9 °F ,   50.0 °F ,80%,   29.84 in ,   8.0 mi ,SSE,   8.1 mph ,Overcast
2/17/2017,7:53 AM,   57.0 °F ,   50.0 °F ,77%,   29.83 in ,   10.0 mi ,South,   13.8 mph ,Overcast
2/17/2017,8:53 AM,   59.0 °F ,   48.9 °F ,69%,   29.82 in ,   10.0 mi ,South,   13.8 mph ,Mostly Cloudy
2/17/2017,9:02 AM,   59.0 °F ,   48.9 °F ,69%,   29.81 in ,   10.0 mi ,SSE,   15.0 mph ,Overcast
2/17/2017,9:53 AM,   60.1 °F ,   48.9 °F ,67%,   29.79 in ,   10.0 mi ,SSE,   18.4 mph ,Overcast
2/17/2017,10:53 AM,   60.1 °F ,   48.9 °F ,67%,   29.78 in ,   10.0 mi ,South,   16.1 mph ,Overcast
2/17/2017,11:53 AM,   61.0 °F ,   50.0 °F ,67%,   29.71 in ,   10.0 mi ,SSE,   13.8 mph ,Overcast
2/17/2017,12:53 PM,   62.1 °F ,   48.9 °F ,62%,   29.66 in ,   10.0 mi ,SSE,   20.7 mph ,Overcast
2/17/2017,1:51 PM,   62.6 °F ,   48.2 °F ,59%,   29.63 in ,   10.0 mi ,SSE,   28.8 mph ,Overcast
2/17/2017,1:53 PM,   62.1 °F ,   48.0 °F ,60%,   29.62 in ,   10.0 mi ,SSE,   29.9 mph ,Overcast
2/17/2017,2:53 PM,   62.1 °F ,   48.0 °F ,60%,   29.58 in ,   10.0 mi ,SSE,   24.2 mph ,Overcast
2/17/2017,3:53 PM,   62.1 °F ,   46.9 °F ,58%,   29.54 in ,   10.0 mi ,SSE,   24.2 mph ,Overcast
2/17/2017,4:53 PM,   60.1 °F ,   48.0 °F ,64%,   29.53 in ,   5.0 mi ,SSE,   18.4 mph ,Rain
2/17/2017,5:53 PM,   57.0 °F ,   50.0 °F ,77%,   29.49 in ,   6.0 mi ,SE,   19.6 mph ,Rain
2/17/2017,6:53 PM,   55.9 °F ,   51.1 °F ,84%,   29.53 in ,   5.0 mi ,South,   9.2 mph ,Rain
2/17/2017,7:26 PM,   51.1 °F ,   48.0 °F ,89%,   29.52 in ,   2.5 mi ,West,   15.0 mph ,Heavy Rain
2/17/2017,7:33 PM,   51.1 °F ,   48.0 °F ,89%,   29.53 in ,   2.0 mi ,West,   11.5 mph ,Heavy Rain
2/17/2017,7:53 PM,   51.1 °F ,   48.9 °F ,92%,   29.53 in ,   2.5 mi ,West,   6.9 mph ,Heavy Rain
2/17/2017,8:06 PM,   51.1 °F ,   48.9 °F ,92%,   29.54 in ,   3.0 mi ,Calm,Calm,Light Rain
2/17/2017,8:25 PM,   51.1 °F ,   50.0 °F ,96%,   29.54 in ,   4.0 mi ,Calm,Calm,Rain
2/17/2017,8:53 PM,   51.1 °F ,   48.9 °F ,92%,   29.55 in ,   5.0 mi ,East,   3.5 mph ,Rain
2/17/2017,9:13 PM,   51.1 °F ,   48.9 °F ,92%,   29.54 in ,   5.0 mi ,East,   10.4 mph ,Rain
2/17/2017,9:53 PM,   51.1 °F ,   48.9 °F ,92%,   29.53 in ,   4.0 mi ,East,   9.2 mph ,Rain
2/17/2017,10:53 PM,   52.0 °F ,   48.0 °F ,86%,   29.51 in ,   7.0 mi ,East,   8.1 mph ,Light Rain
2/17/2017,11:53 PM,   52.0 °F ,   48.9 °F ,89%,   29.52 in ,   10.0 mi ,SSE,   4.6 mph ,Light Rain
2/18/2017,12:53 AM,   52.0 °F ,   48.0 °F ,86%,   29.52 in ,   10.0 mi ,SSE,   8.1 mph ,Light Rain
2/18/2017,1:53 AM,   51.1 °F ,   48.9 °F ,92%,   29.52 in ,   10.0 mi ,SE,   4.6 mph ,Overcast
2/18/2017,2:53 AM,   51.1 °F ,   48.9 °F ,92%,   29.51 in ,   10.0 mi ,Calm,Calm,Light Rain
2/18/2017,3:53 AM,   51.1 °F ,   48.0 °F ,89%,   29.52 in ,   10.0 mi ,SE,   3.5 mph ,Overcast
2/18/2017,4:53 AM,   51.1 °F ,   48.0 °F ,89%,   29.50 in ,   10.0 mi ,ESE,   3.5 mph ,Overcast
2/18/2017,5:53 AM,   51.1 °F ,   48.0 °F ,89%,   29.53 in ,   10.0 mi ,ESE,   3.5 mph ,Overcast
2/18/2017,6:53 AM,   52.0 °F ,   48.0 °F ,86%,   29.53 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
2/18/2017,7:53 AM,   52.0 °F ,   48.9 °F ,89%,   29.55 in ,   10.0 mi ,East,   4.6 mph ,Partly Cloudy
2/18/2017,8:53 AM,   55.0 °F ,   46.9 °F ,74%,   29.58 in ,   10.0 mi ,SE,   6.9 mph ,Overcast
2/18/2017,9:53 AM,   57.0 °F ,   46.0 °F ,67%,   29.57 in ,   10.0 mi ,SSE,   5.8 mph ,Overcast
2/18/2017,10:53 AM,   57.9 °F ,   46.0 °F ,65%,   29.59 in ,   10.0 mi ,South,   8.1 mph ,Mostly Cloudy
2/18/2017,11:53 AM,   59.0 °F ,   46.0 °F ,62%,   29.56 in ,   10.0 mi ,SSW,   9.2 mph ,Mostly Cloudy
2/18/2017,12:53 PM,   59.0 °F ,   48.0 °F ,67%,   29.56 in ,   10.0 mi ,SSW,   12.7 mph ,Overcast
2/18/2017,1:53 PM,   57.9 °F ,   48.9 °F ,72%,   29.57 in ,   10.0 mi ,SSW,   10.4 mph ,Overcast
2/18/2017,2:31 PM,   55.9 °F ,   51.1 °F ,84%,   29.58 in ,   5.0 mi ,SW,   13.8 mph ,Light Rain
2/18/2017,2:53 PM,   55.9 °F ,   52.0 °F ,87%,   29.58 in ,   6.0 mi ,WSW,   11.5 mph ,Light Rain
