Day,Time (PST),Temp,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Conditions
1/18/2018,4:53 PM,   64.0 °F ,   55.0 °F ,73%,   30.04 in ,   5.0 mi ,NE,   5.8 mph ,Haze
1/18/2018,5:53 PM,   61.0 °F ,   54.0 °F ,78%,   30.03 in ,   6.0 mi ,East,   4.6 mph ,Haze
1/18/2018,6:53 PM,   62.1 °F ,   54.0 °F ,75%,   30.04 in ,   6.0 mi ,East,   3.5 mph ,Haze
1/18/2018,7:53 PM,   59.0 °F ,   53.1 °F ,81%,   30.04 in ,   6.0 mi ,Calm,Calm,Haze
1/18/2018,8:53 PM,   60.1 °F ,   53.1 °F ,78%,   30.04 in ,   5.0 mi ,Calm,Calm,Haze
1/18/2018,9:53 PM,   61.0 °F ,   53.1 °F ,75%,   30.04 in ,   5.0 mi ,Calm,Calm,Haze
1/18/2018,10:53 PM,   57.9 °F ,   52.0 °F ,81%,   30.04 in ,   4.0 mi ,SSE,   4.6 mph ,Haze
1/18/2018,11:34 PM,   61.0 °F ,   55.0 °F ,81%,   30.06 in ,   4.0 mi ,SW,   5.8 mph ,Haze
1/18/2018,11:42 PM,   61.0 °F ,   55.9 °F ,83%,   30.06 in ,   3.0 mi ,SW,   5.8 mph ,Haze
1/18/2018,11:53 PM,   61.0 °F ,   55.9 °F ,83%,   30.04 in ,   3.0 mi ,SW,   4.6 mph ,Haze
1/19/2018,12:05 AM,   61.0 °F ,   55.9 °F ,83%,   30.06 in ,   3.0 mi ,WSW,   3.5 mph ,Haze
1/19/2018,12:23 AM,   61.0 °F ,   55.9 °F ,83%,   30.05 in ,   2.5 mi ,Calm,Calm,Haze
1/19/2018,12:45 AM,   60.1 °F ,   54.0 °F ,80%,   30.05 in ,   3.0 mi ,ENE,   3.5 mph ,Haze
1/19/2018,12:53 AM,   60.1 °F ,   54.0 °F ,80%,   30.04 in ,   3.0 mi ,ENE,   3.5 mph ,Haze
1/19/2018,1:53 AM,   61.0 °F ,   55.0 °F ,81%,   30.03 in ,   3.0 mi ,Calm,Calm,Haze
1/19/2018,2:53 AM,   61.0 °F ,   54.0 °F ,78%,   30.03 in ,   5.0 mi ,ESE,   3.5 mph ,Haze
1/19/2018,3:19 AM,   60.1 °F ,   54.0 °F ,80%,   30.03 in ,   5.0 mi ,ENE,   3.5 mph ,Haze
1/19/2018,3:53 AM,   59.0 °F ,   54.0 °F ,83%,   30.03 in ,   4.0 mi ,Calm,Calm,Haze
1/19/2018,4:00 AM,   60.1 °F ,   54.0 °F ,80%,   30.04 in ,   4.0 mi ,Calm,Calm,Haze
1/19/2018,4:16 AM,   60.1 °F ,   54.0 °F ,80%,   30.04 in ,   5.0 mi ,Calm,Calm,Haze
1/19/2018,4:30 AM,   60.1 °F ,   54.0 °F ,80%,   30.03 in ,   5.0 mi ,ENE,   3.5 mph ,Haze
1/19/2018,4:53 AM,   59.0 °F ,   53.1 °F ,81%,   30.02 in ,   5.0 mi ,East,   3.5 mph ,Haze
1/19/2018,5:53 AM,   57.9 °F ,   52.0 °F ,81%,   30.01 in ,   4.0 mi ,East,   4.6 mph ,Haze
1/19/2018,6:53 AM,   55.9 °F ,   51.1 °F ,84%,   30.01 in ,   2.5 mi ,Calm,Calm,Haze
1/19/2018,7:01 AM,   55.9 °F ,   51.1 °F ,84%,   30.02 in ,   3.0 mi ,Calm,Calm,Haze
1/19/2018,7:53 AM,   59.0 °F ,   52.0 °F ,78%,   30.03 in ,   3.0 mi ,ESE,   3.5 mph ,Haze
1/19/2018,8:53 AM,   61.0 °F ,   52.0 °F ,72%,   30.04 in ,   4.0 mi ,ESE,   3.5 mph ,Haze
1/19/2018,9:53 AM,   64.0 °F ,   52.0 °F ,65%,   30.04 in ,   7.0 mi ,WSW,   4.6 mph ,Overcast
1/19/2018,10:53 AM,   61.0 °F ,   52.0 °F ,72%,   30.03 in ,   - ,WSW,   6.9 mph ,Overcast
1/19/2018,11:53 AM,   61.0 °F ,   51.1 °F ,70%,   30.00 in ,   10.0 mi ,WSW,   6.9 mph ,Overcast
1/19/2018,12:29 PM,   62.1 °F ,   51.1 °F ,67%,   29.98 in ,   10.0 mi ,SW,   5.8 mph ,Scattered Clouds
1/19/2018,12:53 PM,   63.0 °F ,   51.1 °F ,65%,   29.96 in ,   10.0 mi ,West,   9.2 mph ,Scattered Clouds
1/19/2018,1:53 PM,   60.1 °F ,   51.1 °F ,72%,   29.96 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/19/2018,2:00 PM,   61.0 °F ,   52.0 °F ,72%,   29.96 in ,   10.0 mi ,SW,   8.1 mph ,Scattered Clouds
1/19/2018,2:08 PM,   61.0 °F ,   52.0 °F ,72%,   29.96 in ,   10.0 mi ,SW,   6.9 mph ,Mostly Cloudy
1/19/2018,2:53 PM,   61.0 °F ,   52.0 °F ,72%,   29.95 in ,   10.0 mi ,WSW,   8.1 mph ,Overcast
1/19/2018,3:53 PM,   60.1 °F ,   54.0 °F ,80%,   29.94 in ,   10.0 mi ,WSW,   6.9 mph ,Overcast
1/19/2018,4:01 PM,   59.0 °F ,   55.0 °F ,87%,   29.95 in ,   4.0 mi ,WSW,   5.8 mph ,Overcast
1/19/2018,4:04 PM,   59.0 °F ,   55.0 °F ,87%,   29.95 in ,   4.0 mi ,WSW,   5.8 mph ,Overcast
1/19/2018,4:10 PM,   57.9 °F ,   55.9 °F ,93%,   29.95 in ,   1.8 mi ,SW,   4.6 mph ,Overcast
1/19/2018,4:27 PM,   57.9 °F ,   55.9 °F ,93%,   29.95 in ,   1.8 mi ,WSW,   5.8 mph ,Overcast
1/19/2018,4:48 PM,   57.2 °F ,   57.2 °F ,100%,   29.95 in ,   3.0 mi ,West,   10.4 mph ,Overcast
1/19/2018,4:49 PM,   57.9 °F ,   55.9 °F ,93%,   29.94 in ,   3.0 mi ,West,   10.4 mph ,Overcast
1/19/2018,5:01 PM,   57.9 °F ,   55.9 °F ,93%,   29.95 in ,   7.0 mi ,West,   8.1 mph ,Overcast
1/19/2018,5:10 PM,   57.9 °F ,   55.9 °F ,93%,   29.95 in ,   10.0 mi ,WSW,   9.2 mph ,Overcast
1/19/2018,5:41 PM,   57.9 °F ,   54.0 °F ,87%,   29.95 in ,   10.0 mi ,West,   4.6 mph ,Overcast
1/19/2018,5:53 PM,   57.9 °F ,   54.0 °F ,87%,   29.94 in ,   10.0 mi ,WSW,   4.6 mph ,Overcast
1/19/2018,6:40 PM,   57.9 °F ,   54.0 °F ,87%,   29.96 in ,   10.0 mi ,West,   11.5 mph ,Light Rain
1/19/2018,6:53 PM,   57.9 °F ,   53.1 °F ,84%,   29.95 in ,   10.0 mi ,West,   6.9 mph ,Overcast
1/19/2018,7:53 PM,   57.0 °F ,   52.0 °F ,83%,   29.96 in ,   10.0 mi ,West,   9.2 mph ,Mostly Cloudy
1/19/2018,8:53 PM,   57.0 °F ,   50.0 °F ,77%,   29.98 in ,   10.0 mi ,WSW,   6.9 mph ,Mostly Cloudy
1/19/2018,9:07 PM,   57.0 °F ,   48.9 °F ,74%,   29.98 in ,   10.0 mi ,West,   8.1 mph ,Mostly Cloudy
1/19/2018,9:53 PM,   57.0 °F ,   48.0 °F ,72%,   29.98 in ,   10.0 mi ,West,   6.9 mph ,Overcast
1/19/2018,10:53 PM,   55.9 °F ,   46.0 °F ,69%,   29.99 in ,   10.0 mi ,West,   6.9 mph ,Mostly Cloudy
1/19/2018,11:53 PM,   55.0 °F ,   45.0 °F ,69%,   29.97 in ,   10.0 mi ,WSW,   6.9 mph ,Partly Cloudy
1/20/2018,12:53 AM,   55.0 °F ,   45.0 °F ,69%,   29.97 in ,   10.0 mi ,WSW,   8.1 mph ,Mostly Cloudy
1/20/2018,1:53 AM,   55.0 °F ,   45.0 °F ,69%,   29.97 in ,   10.0 mi ,WSW,   11.5 mph ,Mostly Cloudy
1/20/2018,2:53 AM,   55.0 °F ,   44.1 °F ,67%,   29.96 in ,   10.0 mi ,WSW,   13.8 mph ,Mostly Cloudy
1/20/2018,3:53 AM,   55.0 °F ,   42.1 °F ,62%,   29.96 in ,   10.0 mi ,West,   12.7 mph ,Partly Cloudy
1/20/2018,4:53 AM,   55.0 °F ,   43.0 °F ,64%,   29.96 in ,   10.0 mi ,West,   9.2 mph ,Scattered Clouds
1/20/2018,5:53 AM,   55.0 °F ,   42.1 °F ,62%,   29.97 in ,   10.0 mi ,West,   13.8 mph ,Clear
1/20/2018,6:53 AM,   55.0 °F ,   41.0 °F ,59%,   29.99 in ,   10.0 mi ,West,   16.1 mph ,Mostly Cloudy
1/20/2018,7:53 AM,   55.9 °F ,   39.0 °F ,53%,   30.01 in ,   10.0 mi ,West,   16.1 mph ,Scattered Clouds
1/20/2018,8:53 AM,   57.0 °F ,   37.9 °F ,49%,   30.04 in ,   10.0 mi ,West,   12.7 mph ,Scattered Clouds
1/20/2018,9:53 AM,   55.9 °F ,   37.9 °F ,51%,   30.05 in ,   10.0 mi ,WNW,   11.5 mph ,Scattered Clouds
1/20/2018,10:53 AM,   57.9 °F ,   36.0 °F ,44%,   30.06 in ,   10.0 mi ,WNW,   12.7 mph ,Mostly Cloudy
1/20/2018,11:53 AM,   59.0 °F ,   39.0 °F ,48%,   30.04 in ,   10.0 mi ,West,   11.5 mph ,Partly Cloudy
1/20/2018,12:53 PM,   60.1 °F ,   36.0 °F ,41%,   30.03 in ,   10.0 mi ,West,   10.4 mph ,Scattered Clouds
1/20/2018,1:53 PM,   59.0 °F ,   34.0 °F ,39%,   30.04 in ,   10.0 mi ,West,   13.8 mph ,Scattered Clouds
1/20/2018,2:53 PM,   59.0 °F ,   35.1 °F ,41%,   30.04 in ,   10.0 mi ,West,   12.7 mph ,Partly Cloudy
1/20/2018,3:53 PM,   59.0 °F ,   35.1 °F ,41%,   30.06 in ,   10.0 mi ,WNW,   12.7 mph ,Clear
1/20/2018,4:53 PM,   57.0 °F ,   41.0 °F ,55%,   30.08 in ,   10.0 mi ,West,   9.2 mph ,Clear
1/20/2018,5:53 PM,   - ,   - ,N/A%,   30.10 in ,   10.0 mi ,West,   8.1 mph ,Partly Cloudy
1/20/2018,6:53 PM,   54.0 °F ,   41.0 °F ,62%,   30.11 in ,   10.0 mi ,West,   4.6 mph ,Clear
1/20/2018,7:53 PM,   53.1 °F ,   39.9 °F ,61%,   30.13 in ,   10.0 mi ,SSE,   4.6 mph ,Clear
1/20/2018,8:53 PM,   48.9 °F ,   39.9 °F ,71%,   30.14 in ,   10.0 mi ,ESE,   3.5 mph ,Clear
1/20/2018,9:53 PM,   50.0 °F ,   41.0 °F ,71%,   30.16 in ,   10.0 mi ,ESE,   4.6 mph ,Partly Cloudy
1/20/2018,10:53 PM,   48.9 °F ,   41.0 °F ,74%,   30.17 in ,   10.0 mi ,East,   5.8 mph ,Clear
1/20/2018,11:53 PM,   46.9 °F ,   39.9 °F ,77%,   30.18 in ,   10.0 mi ,ESE,   6.9 mph ,Clear
1/21/2018,12:53 AM,   46.0 °F ,   39.9 °F ,79%,   30.19 in ,   10.0 mi ,ESE,   5.8 mph ,Clear
1/21/2018,1:53 AM,   46.9 °F ,   39.9 °F ,77%,   30.19 in ,   10.0 mi ,ESE,   5.8 mph ,Clear
1/21/2018,2:53 AM,   46.9 °F ,   39.9 °F ,77%,   30.19 in ,   10.0 mi ,ESE,   4.6 mph ,Clear
1/21/2018,3:53 AM,   45.0 °F ,   39.0 °F ,80%,   30.19 in ,   10.0 mi ,ESE,   4.6 mph ,Clear
1/21/2018,4:53 AM,   44.1 °F ,   39.0 °F ,82%,   30.19 in ,   10.0 mi ,ESE,   3.5 mph ,Clear
1/21/2018,5:53 AM,   44.1 °F ,   37.9 °F ,79%,   30.21 in ,   10.0 mi ,Calm,Calm,Clear
1/21/2018,6:53 AM,   43.0 °F ,   37.9 °F ,82%,   30.23 in ,   10.0 mi ,ESE,   4.6 mph ,Clear
1/21/2018,7:53 AM,   48.0 °F ,   39.9 °F ,74%,   30.26 in ,   10.0 mi ,East,   4.6 mph ,Clear
1/21/2018,8:53 AM,   53.1 °F ,   39.0 °F ,59%,   30.28 in ,   10.0 mi ,ESE,   8.1 mph ,Clear
1/21/2018,9:53 AM,   55.9 °F ,   39.9 °F ,55%,   30.30 in ,   10.0 mi ,South,   4.6 mph ,Clear
1/21/2018,10:53 AM,   59.0 °F ,   36.0 °F ,42%,   30.30 in ,   10.0 mi ,Calm,Calm,Clear
1/21/2018,11:53 AM,   61.0 °F ,   34.0 °F ,36%,   30.27 in ,   10.0 mi ,WSW,   8.1 mph ,Clear
1/21/2018,12:53 PM,   62.1 °F ,   33.1 °F ,34%,   30.25 in ,   10.0 mi ,West,   6.9 mph ,Clear
1/21/2018,1:53 PM,   62.1 °F ,   36.0 °F ,38%,   30.25 in ,   10.0 mi ,West,   8.1 mph ,Clear
1/21/2018,2:53 PM,   61.0 °F ,   37.9 °F ,42%,   30.25 in ,   10.0 mi ,West,   8.1 mph ,Clear
1/21/2018,3:53 PM,   61.0 °F ,   35.1 °F ,38%,   30.25 in ,   10.0 mi ,NW,   5.8 mph ,Clear
1/21/2018,4:53 PM,   57.9 °F ,   35.1 °F ,42%,   30.26 in ,   10.0 mi ,WNW,   4.6 mph ,Clear
1/21/2018,5:53 PM,   55.9 °F ,   37.0 °F ,49%,   30.27 in ,   10.0 mi ,NW,   6.9 mph ,Clear
1/21/2018,6:53 PM,   55.0 °F ,   36.0 °F ,49%,   30.27 in ,   10.0 mi ,North,   5.8 mph ,Clear
1/21/2018,7:53 PM,   51.1 °F ,   37.0 °F ,59%,   30.27 in ,   10.0 mi ,NE,   4.6 mph ,Clear
1/21/2018,8:53 PM,   50.0 °F ,   34.0 °F ,54%,   30.27 in ,   10.0 mi ,NE,   4.6 mph ,Clear
1/21/2018,9:53 PM,   51.1 °F ,   32.0 °F ,48%,   30.26 in ,   10.0 mi ,Calm,Calm,Clear
1/21/2018,10:53 PM,   50.0 °F ,   33.1 °F ,52%,   30.27 in ,   10.0 mi ,Calm,Calm,Clear
1/21/2018,11:53 PM,   48.0 °F ,   33.1 °F ,56%,   30.26 in ,   10.0 mi ,Calm,Calm,Clear
1/22/2018,12:53 AM,   46.0 °F ,   33.1 °F ,61%,   30.26 in ,   10.0 mi ,Calm,Calm,Clear
1/22/2018,1:53 AM,   45.0 °F ,   34.0 °F ,65%,   30.25 in ,   10.0 mi ,ESE,   3.5 mph ,Clear
1/22/2018,2:53 AM,   46.0 °F ,   35.1 °F ,66%,   30.23 in ,   10.0 mi ,Calm,Calm,Clear
1/22/2018,3:53 AM,   45.0 °F ,   35.1 °F ,68%,   30.23 in ,   10.0 mi ,Calm,Calm,Clear
1/22/2018,4:53 AM,   46.0 °F ,   35.1 °F ,66%,   30.23 in ,   10.0 mi ,Calm,Calm,Clear
1/22/2018,5:53 AM,   44.1 °F ,   34.0 °F ,68%,   30.23 in ,   10.0 mi ,Calm,Calm,Clear
1/22/2018,6:53 AM,   45.0 °F ,   33.1 °F ,63%,   30.24 in ,   10.0 mi ,Calm,Calm,Clear
1/22/2018,7:53 AM,   50.0 °F ,   34.0 °F ,54%,   30.25 in ,   10.0 mi ,Calm,Calm,Clear
1/22/2018,8:53 AM,   54.0 °F ,   32.0 °F ,43%,   30.26 in ,   10.0 mi ,Calm,Calm,Clear
1/22/2018,9:53 AM,   60.1 °F ,   28.9 °F ,31%,   30.25 in ,   10.0 mi ,Calm,Calm,Clear
1/22/2018,10:53 AM,   64.0 °F ,   25.0 °F ,23%,   30.24 in ,   10.0 mi ,NW,   3.5 mph ,Clear
1/22/2018,11:53 AM,   66.9 °F ,   19.9 °F ,17%,   30.20 in ,   10.0 mi ,NW,   4.6 mph ,Clear
1/22/2018,12:53 PM,   66.9 °F ,   27.0 °F ,22%,   30.17 in ,   10.0 mi ,West,   8.1 mph ,Clear
1/22/2018,1:53 PM,   66.0 °F ,   30.0 °F ,26%,   30.16 in ,   10.0 mi ,NW,   9.2 mph ,Clear
1/22/2018,2:53 PM,   64.9 °F ,   28.0 °F ,25%,   30.14 in ,   10.0 mi ,NW,   10.4 mph ,Clear
1/22/2018,3:53 PM,   63.0 °F ,   34.0 °F ,34%,   30.15 in ,   10.0 mi ,NW,   10.4 mph ,Clear
1/22/2018,4:53 PM,   61.0 °F ,   34.0 °F ,36%,   30.15 in ,   10.0 mi ,NW,   9.2 mph ,Clear
1/22/2018,5:53 PM,   57.9 °F ,   39.9 °F ,51%,   30.16 in ,   10.0 mi ,NNW,   8.1 mph ,Clear
1/22/2018,6:53 PM,   55.0 °F ,   39.9 °F ,57%,   30.16 in ,   10.0 mi ,NNE,   4.6 mph ,Clear
1/22/2018,7:53 PM,   54.0 °F ,   36.0 °F ,51%,   30.16 in ,   10.0 mi ,North,   4.6 mph ,Clear
1/22/2018,8:53 PM,   54.0 °F ,   30.9 °F ,41%,   30.17 in ,   10.0 mi ,North,   3.5 mph ,Clear
1/22/2018,9:53 PM,   51.1 °F ,   33.1 °F ,50%,   30.17 in ,   10.0 mi ,Calm,Calm,Clear
1/22/2018,10:53 PM,   48.9 °F ,   32.0 °F ,52%,   30.17 in ,   10.0 mi ,NE,   5.8 mph ,Clear
1/22/2018,11:53 PM,   48.9 °F ,   32.0 °F ,52%,   30.14 in ,   10.0 mi ,NNE,   3.5 mph ,Clear
1/23/2018,12:53 AM,   48.0 °F ,   30.9 °F ,52%,   30.13 in ,   10.0 mi ,NNE,   3.5 mph ,Clear
1/23/2018,1:53 AM,   44.1 °F ,   30.0 °F ,58%,   30.14 in ,   10.0 mi ,Calm,Calm,Clear
1/23/2018,2:53 AM,   45.0 °F ,   28.9 °F ,53%,   30.13 in ,   10.0 mi ,ESE,   3.5 mph ,Clear
1/23/2018,3:53 AM,   44.1 °F ,   30.0 °F ,58%,   30.11 in ,   10.0 mi ,ESE,   3.5 mph ,Clear
1/23/2018,4:53 AM,   46.0 °F ,   28.9 °F ,51%,   30.11 in ,   10.0 mi ,Calm,Calm,Clear
1/23/2018,5:53 AM,   45.0 °F ,   28.9 °F ,53%,   30.13 in ,   10.0 mi ,ESE,   4.6 mph ,Clear
1/23/2018,6:53 AM,   43.0 °F ,   28.9 °F ,58%,   30.13 in ,   10.0 mi ,ENE,   3.5 mph ,Clear
1/23/2018,7:53 AM,   51.1 °F ,   30.9 °F ,46%,   30.13 in ,   10.0 mi ,Calm,Calm,Clear
1/23/2018,8:53 AM,   57.9 °F ,   30.9 °F ,36%,   30.15 in ,   10.0 mi ,Calm,Calm,Clear
1/23/2018,9:53 AM,   66.0 °F ,   25.0 °F ,21%,   30.15 in ,   10.0 mi ,West,   5.8 mph ,Clear
1/23/2018,10:53 AM,   72.0 °F ,   25.0 °F ,17%,   30.14 in ,   10.0 mi ,West,   3.5 mph ,Clear
1/23/2018,11:53 AM,   73.9 °F ,   25.0 °F ,16%,   30.11 in ,   10.0 mi ,NW,   3.5 mph ,Clear
1/23/2018,12:53 PM,   73.9 °F ,   30.0 °F ,20%,   30.08 in ,   10.0 mi ,West,   8.1 mph ,Clear
1/23/2018,1:53 PM,   73.0 °F ,   26.1 °F ,17%,   30.08 in ,   10.0 mi ,WNW,   8.1 mph ,Clear
1/23/2018,2:53 PM,   71.1 °F ,   28.9 °F ,21%,   30.07 in ,   10.0 mi ,WNW,   10.4 mph ,Clear
1/23/2018,3:53 PM,   68.0 °F ,   41.0 °F ,37%,   30.09 in ,   10.0 mi ,NW,   10.4 mph ,Clear
1/23/2018,4:53 PM,   64.0 °F ,   39.9 °F ,41%,   30.10 in ,   10.0 mi ,NNW,   11.5 mph ,Clear
1/23/2018,5:53 PM,   63.0 °F ,   30.0 °F ,29%,   30.11 in ,   10.0 mi ,NNW,   11.5 mph ,Clear
1/23/2018,6:53 PM,   62.1 °F ,   27.0 °F ,26%,   30.12 in ,   10.0 mi ,North,   8.1 mph ,Clear
1/23/2018,7:53 PM,   59.0 °F ,   28.9 °F ,32%,   30.12 in ,   10.0 mi ,NNE,   4.6 mph ,Clear
1/23/2018,8:53 PM,   55.0 °F ,   28.9 °F ,37%,   30.12 in ,   10.0 mi ,NE,   3.5 mph ,Clear
1/23/2018,9:53 PM,   54.0 °F ,   28.9 °F ,38%,   30.12 in ,   10.0 mi ,Calm,Calm,Clear
1/23/2018,10:53 PM,   51.1 °F ,   30.9 °F ,46%,   30.12 in ,   10.0 mi ,Calm,Calm,Clear
1/23/2018,11:53 PM,   48.0 °F ,   32.0 °F ,54%,   30.11 in ,   10.0 mi ,NE,   4.6 mph ,Clear
1/24/2018,12:53 AM,   50.0 °F ,   30.9 °F ,48%,   30.11 in ,   10.0 mi ,Calm,Calm,Clear
1/24/2018,1:53 AM,   48.9 °F ,   28.9 °F ,46%,   30.10 in ,   10.0 mi ,NNW,   3.5 mph ,Clear
1/24/2018,2:53 AM,   46.0 °F ,   28.0 °F ,50%,   30.09 in ,   10.0 mi ,East,   4.6 mph ,Clear
1/24/2018,3:53 AM,   46.0 °F ,   28.0 °F ,50%,   30.09 in ,   10.0 mi ,Calm,Calm,Clear
1/24/2018,4:53 AM,   48.9 °F ,   26.1 °F ,41%,   30.09 in ,   10.0 mi ,North,   3.5 mph ,Clear
1/24/2018,5:53 AM,   46.9 °F ,   26.1 °F ,44%,   30.11 in ,   10.0 mi ,Calm,Calm,Clear
1/24/2018,6:53 AM,   48.9 °F ,   25.0 °F ,39%,   30.11 in ,   10.0 mi ,Calm,Calm,Clear
1/24/2018,7:53 AM,   55.0 °F ,   28.9 °F ,37%,   30.12 in ,   10.0 mi ,NNE,   4.6 mph ,Clear
1/24/2018,8:53 AM,   64.0 °F ,   21.9 °F ,20%,   30.13 in ,   10.0 mi ,NE,   4.6 mph ,Clear
1/24/2018,9:53 AM,   70.0 °F ,   19.9 °F ,15%,   30.13 in ,   10.0 mi ,ENE,   3.5 mph ,Clear
1/24/2018,10:53 AM,   73.9 °F ,   15.1 °F ,11%,   30.12 in ,   10.0 mi ,Calm,Calm,Clear
1/24/2018,11:53 AM,   78.1 °F ,   12.9 °F ,8%,   30.08 in ,   10.0 mi ,NW,   5.8 mph ,Clear
1/24/2018,12:53 PM,   78.1 °F ,   21.0 °F ,12%,   30.04 in ,   10.0 mi ,WNW,   12.7 mph ,Clear
1/24/2018,1:53 PM,   73.9 °F ,   24.1 °F ,16%,   30.03 in ,   10.0 mi ,WNW,   10.4 mph ,Clear
1/24/2018,2:53 PM,   73.0 °F ,   21.0 °F ,14%,   30.02 in ,   10.0 mi ,West,   10.4 mph ,Clear
1/24/2018,3:53 PM,   72.0 °F ,   18.0 °F ,13%,   30.02 in ,   10.0 mi ,WNW,   8.1 mph ,Clear
1/24/2018,4:53 PM,   69.1 °F ,   18.0 °F ,14%,   30.03 in ,   10.0 mi ,WNW,   8.1 mph ,Clear
1/24/2018,5:53 PM,   62.1 °F ,   33.1 °F ,34%,   30.04 in ,   10.0 mi ,NNW,   6.9 mph ,Clear
1/24/2018,6:53 PM,   59.0 °F ,   30.9 °F ,35%,   30.04 in ,   10.0 mi ,North,   4.6 mph ,Clear
1/24/2018,7:53 PM,   55.9 °F ,   34.0 °F ,44%,   30.04 in ,   10.0 mi ,North,   4.6 mph ,Clear
1/24/2018,8:53 PM,   54.0 °F ,   28.0 °F ,37%,   30.04 in ,   10.0 mi ,Calm,Calm,Clear
1/24/2018,9:53 PM,   54.0 °F ,   28.9 °F ,38%,   30.06 in ,   10.0 mi ,Calm,Calm,Clear
1/24/2018,10:53 PM,   48.0 °F ,   30.0 °F ,50%,   30.06 in ,   10.0 mi ,East,   3.5 mph ,Clear
1/24/2018,11:53 PM,   51.1 °F ,   27.0 °F ,39%,   30.06 in ,   10.0 mi ,Calm,Calm,Clear
1/25/2018,12:53 AM,   46.9 °F ,   28.0 °F ,48%,   30.06 in ,   10.0 mi ,Calm,Calm,Clear
1/25/2018,3:53 AM,   46.0 °F ,   28.9 °F ,51%,   30.03 in ,   10.0 mi ,WSW,   3.5 mph ,Clear
1/25/2018,4:53 AM,   45.0 °F ,   30.9 °F ,58%,   30.04 in ,   10.0 mi ,WNW,   6.9 mph ,Clear
1/25/2018,5:53 AM,   43.0 °F ,   30.0 °F ,60%,   30.06 in ,   10.0 mi ,NE,   3.5 mph ,Clear
1/25/2018,6:53 AM,   46.0 °F ,   28.9 °F ,51%,   30.07 in ,   10.0 mi ,Calm,Calm,Clear
1/25/2018,8:53 AM,   55.0 °F ,   34.0 °F ,45%,   30.10 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/25/2018,9:00 AM,   57.0 °F ,   35.1 °F ,44%,   30.11 in ,   10.0 mi ,Calm,Calm,Mostly Cloudy
1/25/2018,9:48 AM,   57.2 °F ,   39.2 °F ,51%,   30.12 in ,   10.0 mi ,Calm,Calm,Scattered Clouds
1/25/2018,9:53 AM,   57.9 °F ,   42.1 °F ,56%,   30.12 in ,   10.0 mi ,Calm,Calm,Partly Cloudy
1/25/2018,10:53 AM,   62.1 °F ,   45.0 °F ,53%,   30.10 in ,   10.0 mi ,SW,   4.6 mph ,Clear
1/25/2018,11:53 AM,   63.0 °F ,   46.0 °F ,54%,   30.08 in ,   10.0 mi ,West,   9.2 mph ,Clear
1/25/2018,12:53 PM,   62.1 °F ,   46.0 °F ,56%,   30.06 in ,   10.0 mi ,West,   11.5 mph ,Overcast
1/25/2018,1:53 PM,   62.1 °F ,   46.9 °F ,58%,   30.06 in ,   10.0 mi ,WNW,   9.2 mph ,Mostly Cloudy
1/25/2018,2:30 PM,   62.1 °F ,   48.9 °F ,62%,   30.06 in ,   10.0 mi ,NW,   10.4 mph ,Mostly Cloudy
1/25/2018,2:53 PM,   62.1 °F ,   48.9 °F ,62%,   30.06 in ,   10.0 mi ,NW,   11.5 mph ,Mostly Cloudy
1/25/2018,3:53 PM,   61.0 °F ,   50.0 °F ,67%,   30.06 in ,   10.0 mi ,West,   10.4 mph ,Mostly Cloudy
1/25/2018,4:53 PM,   59.0 °F ,   51.1 °F ,75%,   30.07 in ,   10.0 mi ,West,   11.5 mph ,Mostly Cloudy
1/25/2018,5:53 PM,   57.0 °F ,   46.9 °F ,69%,   30.09 in ,   10.0 mi ,WNW,   13.8 mph ,Scattered Clouds
1/25/2018,6:53 PM,   55.9 °F ,   45.0 °F ,67%,   30.11 in ,   10.0 mi ,West,   8.1 mph ,Partly Cloudy
1/25/2018,7:53 PM,   55.9 °F ,   44.1 °F ,64%,   30.11 in ,   10.0 mi ,West,   5.8 mph ,Clear
1/25/2018,8:53 PM,   55.0 °F ,   44.1 °F ,67%,   30.12 in ,   10.0 mi ,Calm,Calm,Clear
1/25/2018,9:53 PM,   50.0 °F ,   43.0 °F ,77%,   30.14 in ,   10.0 mi ,Calm,Calm,Partly Cloudy
1/25/2018,10:53 PM,   50.0 °F ,   43.0 °F ,77%,   30.14 in ,   10.0 mi ,East,   3.5 mph ,Partly Cloudy
1/25/2018,11:53 PM,   48.9 °F ,   43.0 °F ,80%,   30.14 in ,   10.0 mi ,ESE,   3.5 mph ,Mostly Cloudy
1/26/2018,12:53 AM,   52.0 °F ,   44.1 °F ,74%,   30.14 in ,   10.0 mi ,SSE,   3.5 mph ,Mostly Cloudy
1/26/2018,1:15 AM,   51.1 °F ,   45.0 °F ,80%,   30.15 in ,   10.0 mi ,Calm,Calm,Overcast
1/26/2018,1:41 AM,   51.1 °F ,   45.0 °F ,80%,   30.15 in ,   10.0 mi ,SE,   5.8 mph ,Overcast
1/26/2018,1:53 AM,   51.1 °F ,   44.1 °F ,77%,   30.14 in ,   10.0 mi ,SE,   5.8 mph ,Mostly Cloudy
1/26/2018,2:26 AM,   51.1 °F ,   45.0 °F ,80%,   30.15 in ,   10.0 mi ,ESE,   3.5 mph ,Overcast
